% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Area (km²),Bomb Blasts Occurred,"Boundary wall, Building condition satisfactory, Drinking water and 2 more (clusters)",Boundary wall,Building condition satisfactory,MeasureGroup 1 Measures,Color By Measure Value,Show Sheet,Table of Contents,Other Factors Measure Value,Analysis Level Selector,Color By Measure Name,Complete Primary Schools,Country,City,Drinking water,Drone attacks in Pakistan,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Gender parity score,Global Terrorism Index - Pakistan,Learning score,MeasureGroup 2 Measures,No Facility,Number of Records,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,Province,Retention score,School infrastructure score,Terrorist Attacks Affectees,Toilet,Total number of schools,Year
64.67%,0.346090760,35.34%,0.126845271,0.527063969,14.90%,22.86%,30.20%,15.20%,6083,27,Cluster 1,62.250809061,23.399344262,85.335,85.335,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,633,Pakistan,Ghotki,73.912081985,19,71.855,2.62%,51.865695793,77.025,85.335,9.37,56.63,71.855,16.84%,1,0.933163265,1829,0.066836735,131,4.10%,970549,232,964,Sindh,68.44,54.34,5496,60.279935275,1960,2014
56.07%,0.447187929,43.93%,0.246913580,0.305898491,47.44%,11.26%,24.46%,12.40%,5519,27,Cluster 2,85.689189189,51.678850267,93.93,93.93,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,326,Pakistan,Hyderabad,74.635778636,19,75.865,2.62%,78.640283140,72.24,93.93,9.37,66.61,75.865,4.44%,1,0.829351536,729,0.170648464,150,4.10%,1565000,180,223,Sindh,70.695,75.005,5496,84.387387387,879,2014
66.36%,0.320541761,33.64%,0.251316780,0.428141460,12.15%,19.58%,19.93%,18.40%,5278,27,Cluster 1,58.899926954,15.665612382,83.64,83.64,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,426,Pakistan,Jacobabad,35.227538349,19,59.47,2.62%,45.955441928,41.78,83.64,9.37,60.24,59.47,29.93%,1,0.922916667,1329,0.077083333,111,4.10%,1425572,334,569,Sindh,52.21,41.28,5496,50.660701242,1440,2014
77.54%,0.298737728,22.46%,0.312762973,0.388499299,24.40%,16.26%,21.73%,25.92%,0,27,Cluster 2,83.211640212,14.132144564,72.46,72.46,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,213,Pakistan,Jamshoro,53.042328042,19,52.435,2.62%,72.968253968,37.995,72.46,9.37,58.84,52.435,11.69%,1,0.905972046,713,0.094027954,74,4.10%,0,223,277,Sindh,40.445,58.725,5496,70.256613757,787,2014
62.04%,0.459102902,37.97%,0.166886544,0.374010554,16.06%,22.87%,19.25%,17.17%,0,27,Cluster 1,69.368421053,18.827517328,87.965,87.965,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,696,Pakistan,Kambar-Shahdadkot,48.046052632,19,62.83,2.62%,62.605263158,51.7,87.965,9.37,52.365,62.83,24.65%,1,0.929491110,1516,0.070508890,115,4.10%,0,253,567,Sindh,59.29,52.2,5496,62.171052632,1631,2014
64.71%,0.700232019,35.29%,0.106728538,0.193039443,50.11%,9.04%,21.83%,15.08%,3527,27,Cluster 2,93.525865499,42.663623585,85.29,85.29,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,1509,Pakistan,Karachi,67.091325109,19,69.945,2.62%,76.216872264,66.1,85.29,9.37,66.65,69.945,3.94%,1,0.695834679,2155,0.304165321,942,4.10%,13215631,230,416,Sindh,61.735,71.455,5496,77.776561878,3097,2014
75.26%,0.411342426,24.74%,0.135678392,0.452979182,7.16%,22.21%,16.45%,13.44%,2592,27,Cluster 1,51.017241379,14.988305613,74.74,74.74,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,573,Pakistan,Kashmore-Kandhkot,47.995689655,19,62.47,2.62%,29.650862069,39.105,74.74,9.37,66.325,62.47,40.74%,1,0.931772575,1393,0.068227425,102,4.10%,662462,189,631,Sindh,69.71,35.75,5496,35.102011494,1495,2014
62.75%,0.114303959,37.26%,0.355363985,0.530332056,35.49%,13.44%,24.71%,15.20%,15910,27,Cluster 2,69.477135599,27.088270142,87.255,87.255,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,358,Pakistan,Khairpur,83.448555097,19,66.76,2.62%,69.913623372,46.685,87.255,9.37,67.255,66.76,11.16%,1,0.905202312,3132,0.094797688,328,4.10%,1546587,1113,1661,Sindh,65.84,65.54,5496,77.780406478,3460,2014
63.55%,0.617248062,36.46%,0.088178295,0.294573643,44.86%,8.65%,34.50%,5.48%,7423,27,Cluster 2,88.943127962,26.126232710,86.455,86.455,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,637,Pakistan,Larkana,84.336492891,19,67.71,2.62%,76.881516588,54.305,86.455,9.37,57.3,67.71,6.51%,1,0.883561644,1032,0.116438356,136,4.10%,1927066,91,304,Sindh,72.775,72,5496,83.720379147,1168,2014
68.17%,0.005834306,31.83%,0.256332320,0.403733956,45.46%,8.10%,20.19%,16.41%,1417,27,Cluster 2,82.271490751,26.476361257,81.83,81.83,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,5,Pakistan,Matiari,73.436887922,19,71.67,2.62%,79.626224157,78.74,81.83,9.37,62.625,71.67,9.83%,1,0.925485961,857,0.074514039,69,4.10%,515331,506,346,Sindh,63.475,68.54,5496,80.898258977,926,2014
61.92%,0.332320162,38.08%,0.301050175,0.536980750,13.20%,16.71%,14.77%,20.82%,2925,27,Cluster 1,55.675865529,17.631035120,88.08,88.08,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,656,Pakistan,Mirpurkhas,42.149523332,19,61.205,2.62%,47.502508781,43.095,88.08,9.37,56.94,61.205,34.49%,1,0.911357341,1974,0.088642659,192,4.10%,1569030,258,1060,Sindh,56.69,43.95,5496,56.779729052,2166,2014
69.10%,0.444286392,30.90%,0.141299194,0.414414414,36.49%,16.38%,23.16%,13.42%,2945,27,Cluster 2,70.348324920,19.521502146,80.9,80.9,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,937,Pakistan,Naushehro Feroze,83.087195961,19,65.775,2.62%,71.467875172,56.69,80.9,9.37,60.31,65.775,10.55%,1,0.904373928,2109,0.095626072,223,4.10%,1087571,298,874,Sindh,65.2,61.815,5496,64.636989445,2332,2014
72.98%,0.333900613,27.03%,0.257903494,0.455071477,16.93%,15.72%,21.48%,17.77%,10720,27,Cluster 1,72.35,13.636249189,77.025,77.025,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,981,Pakistan,Sanghar,51.116666667,19,54.365,2.62%,48.866666667,43.315,77.025,9.37,50.305,54.365,28.10%,1,0.940460948,2938,0.059539052,186,4.10%,1453028,620,1337,Sindh,46.815,48.14,5496,54.733333333,3124,2014
61.96%,0.308236273,38.05%,0.210347175,0.434692180,40.56%,13.48%,18.77%,15.54%,4502,27,Cluster 2,72.661949050,30.061205593,88.045,88.045,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,741,Pakistan,Shaheed Benazirabad,71.496360696,19,52.24,2.62%,71.540638900,37.78,88.045,9.37,54.81,52.24,11.65%,1,0.915460777,2404,0.084539223,222,4.10%,1071533,618,1045,Sindh,28.33,63.215,5496,70.305701577,2626,2014
63.27%,0.628303495,36.73%,0.144927536,0.226768968,28.08%,16.15%,24.46%,16.23%,0,27,Cluster 2,79.084362140,22.849500403,86.73,86.73,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,737,Pakistan,Shikarpur,64.030864198,19,72.625,2.62%,53.551440329,76.9,86.73,9.37,59.935,72.625,15.08%,1,0.902307692,1173,0.097692308,127,4.10%,0,170,266,Sindh,66.93,57.18,5496,66.401234568,1300,2014
70.80%,0.273636364,29.21%,0.258181818,0.468181818,36.05%,13.03%,25.74%,16.31%,2512,27,Cluster 2,79.803808680,59.908025210,79.205,79.205,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,301,Pakistan,Sukkur,82.315323295,19,59.205,2.62%,74.919397697,47.885,79.205,9.37,53.525,59.205,8.87%,1,0.879296563,1100,0.120703437,151,4.10%,890438,284,515,Sindh,56.205,76.45,5496,85.302480071,1251,2014
73.42%,0.214285714,26.58%,0.215633423,0.570080863,31.77%,12.64%,23.71%,20.58%,5165,27,Cluster 2,80.3,20.242322835,76.58,76.58,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,159,Pakistan,Tando Allah Yar,57.6,19,62.3,2.62%,60.833333333,48.95,76.58,9.37,60.19,62.3,11.31%,1,0.892900120,742,0.107099880,89,4.10%,908373,160,423,Sindh,63.475,57.67,5496,69.366666667,831,2014
59.78%,0,40.22%,0.44,0.743157895,14.16%,22.81%,25.17%,19.08%,2310,27,Cluster 2,70.215874621,49.615519713,90.22,90.22,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,0,Pakistan,Tando Muhammad Khan,56.683013145,19,49.38,2.62%,56.217896866,32.115,90.22,9.37,61.375,49.38,18.78%,1,0.934119961,950,0.065880039,67,4.10%,550000,418,706,Sindh,13.795,59.805,5496,66.295247725,1017,2014
74.47%,0.024200054,25.53%,0.417585372,0.558214574,2.10%,15.12%,10.10%,19.79%,19638,27,Cluster 1,59.545694665,21.408763875,75.53,75.53,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,90,Pakistan,Tharparkar,30.197305864,19,55.205,2.62%,26.333597464,47,75.53,9.37,52.515,55.205,52.89%,1,0.927894212,3719,0.072105788,289,4.10%,955812,1553,2076,Sindh,45.77,36.665,5496,45.843898574,4008,2014
59.87%,0.018284107,40.14%,0.514767932,0.466947961,2.71%,22.57%,4.82%,25.48%,19638,27,Cluster 2,66.057377049,55.318144222,90.135,90.135,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,26,Pakistan,Thatta,57.901639344,19,57.22,2.62%,54.614754098,38.86,90.135,9.37,50.51,57.22,44.42%,1,0.938613861,1422,0.061386139,93,4.10%,914291,732,664,Sindh,49.355,59.545,5496,63.836065574,1515,2014
79.68%,0.089423077,20.32%,0.328365385,0.582211538,10.56%,22.64%,13.52%,25.20%,17355,27,Cluster 2,59.523191095,58.857506936,70.32,70.32,Year on Year Change,What are these scores? How they are Derived?,"5,496.0",Sindh,Gender parity score,186,Pakistan,Umerkot,40.605751391,19,51.605,2.62%,43.461038961,43.61,70.32,9.37,50.965,51.605,28.08%,1,0.934411500,2080,0.065588500,146,4.10%,1113194,683,1211,Sindh,41.52,55.745,5496,76.290352505,2226,2014
55.02%,0.936599424,44.98%,0.034582133,0.028818444,17.06%,16.20%,24.73%,24.95%,768,23,Cluster 1,29.48,36.99,94.98,94.98,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",AJK,Gender parity score,325,Pakistan,Bagh,25.43,14,78.28,2.68%,4.34,79.11,94.98,9.065,58.08,78.28,17.06%,1,0.577371048,347,0.422628952,254,4.00%,351415,12,10,AJK,80.95,28.44,1009,45.95,601,2015
58.04%,0.594202899,41.96%,0.359903382,0.045893720,15.25%,20.21%,17.38%,15.43%,1516,23,Cluster 1,24.88,33.57,91.96,91.96,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",AJK,Gender parity score,246,Pakistan,Bhimber,29.47,14,77.15,2.68%,19.08,78.86,91.96,9.065,57.64,77.15,31.74%,1,0.695798319,414,0.304201681,181,4.00%,301633,149,19,AJK,80.12,25.51,1009,20.53,595,2015
61.36%,0.939068100,38.64%,0.021505376,0.039426523,5.35%,4.55%,16.31%,20.05%,,23,Cluster 1,31.65,37.05,88.64,88.64,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",AJK,Gender parity score,262,Pakistan,Hattian,23.38,14,76.68,2.68%,2.88,77.89,88.64,9.065,63.68,76.68,53.74%,1,0.736147757,279,0.263852243,100,4.00%,,6,11,AJK,76.5,26.4,1009,37.05,379,2015
59.34%,0.827225131,40.66%,0.041884817,0.130890052,1.57%,22.44%,7.09%,12.20%,600,23,Cluster 1,5.82,26.46,90.66,90.66,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",AJK,Gender parity score,158,Pakistan,Haveli,11.64,14,78.25,2.68%,1.59,76.5,90.66,9.065,71.94,78.25,56.69%,1,0.729007634,191,0.270992366,71,4.00%,150000,8,25,AJK,73.9,11.22,1009,10.58,262,2015
54.88%,0.592348285,45.12%,0.346965699,0.060686016,7.12%,23.06%,9.78%,13.60%,2162,23,Cluster 1,9.62,23.32,95.12,95.12,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",AJK,Gender parity score,449,Pakistan,Kotli,15.28,14,77.99,2.68%,10.14,78.29,95.12,9.065,59.86,77.99,46.44%,1,0.731660232,758,0.268339768,278,4.00%,834094,263,46,AJK,78.68,14.73,1009,15.28,1036,2015
54.03%,0.582191781,45.97%,0.173515982,0.244292237,85.42%,1.28%,9.72%,2.30%,2310,23,Cluster 1,54.01,36.25,95.97,95.97,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",AJK,Gender parity score,255,Pakistan,Mirpur,36.98,14,78.78,2.68%,39.42,79.27,95.97,9.065,59.76,78.78,1.28%,1,0.706451613,438,0.293548387,182,4.00%,754482,76,107,AJK,80.12,39.95,1009,33.09,620,2015
55.78%,0.940717629,44.22%,0.026521061,0.032761310,9.90%,10.83%,18.86%,24.33%,2496,23,Cluster 1,34.79,42.28,94.22,94.22,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",AJK,Gender parity score,603,Pakistan,Muzaffarabad,29.49,14,72.93,2.68%,9.52,74.88,94.22,9.065,46.03,72.93,36.09%,1,0.718609865,641,0.281390135,251,4.00%,638973,17,21,AJK,76.6,31.83,1009,43.06,892,2015
64.96%,0.737327189,35.04%,0.184331797,0.078341014,4.08%,25.31%,13.47%,21.22%,,23,Cluster 1,4.57,34.25,85.04,85.04,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",AJK,Gender parity score,160,Pakistan,Neelum,26.03,14,75.23,2.68%,3.2,69.84,85.04,9.065,68.95,75.23,35.92%,1,0.777777778,217,0.222222222,62,4.00%,,40,17,AJK,77.08,15.71,1009,10.5,279,2015
54.70%,0.846975089,45.30%,0.112099644,0.040925267,4.52%,25.43%,7.09%,15.53%,855,23,Cluster 1,11.92,25.8,95.3,95.3,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",AJK,Gender parity score,476,Pakistan,Poonch,11.74,14,73.97,2.68%,1.78,79.11,95.3,9.065,39.93,73.97,47.43%,1,0.679564692,562,0.320435308,265,4.00%,411035,63,23,AJK,81.55,14.98,1009,23.67,827,2015
64.93%,0.707042254,35.07%,0.225352113,0.067605634,1.88%,26.02%,7.84%,14.11%,569,23,Cluster 1,9.01,16.9,85.07,85.07,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",AJK,Gender parity score,251,Pakistan,Sudhnutti,13.8,14,71.1,2.68%,1.97,74.63,85.07,9.065,43.07,71.1,50.16%,1,0.718623482,355,0.281376518,139,4.00%,204091,80,24,AJK,81.62,10.37,1009,10.14,494,2015
72.40%,0.239631336,27.60%,0.188940092,0.571428571,35.94%,0.46%,54.38%,9.22%,12510,23,Cluster 1,19.42,3.88,77.6,77.6,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,52,Pakistan,Awaran,0.97,14,53.89,2.68%,88.35,44.69,77.6,9.065,20.41,53.89,0.00%,1,0.812734082,217,0.187265918,50,4.00%,118173,41,124,Balochistan,72.86,23.79,1009,6.31,267,2015
98.95%,0,1.05%,0.394316163,0.811722913,3.24%,31.57%,16.72%,48.46%,3514,23,Cluster 1,25.04,26.46,51.05,51.05,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,0,Pakistan,Barkhan,1.59,14,45.87,2.68%,21.16,70.35,51.05,9.065,17.07,45.87,0.00%,1,0.924466338,563,0.075533662,46,4.00%,103545,222,457,Balochistan,45.03,14.89,1009,0.18,609,2015
99.65%,0.342723005,0.35%,0.122065728,0.535211268,22.95%,2.46%,43.85%,30.74%,44748,23,Cluster 1,34.8,25,50.35,50.35,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,73,Pakistan,Chaghi,12.25,14,45.16,2.68%,85.78,47.15,50.35,9.065,37.06,45.16,0.00%,1,0.825581395,213,0.174418605,45,4.00%,300000,26,114,Balochistan,46.08,38.63,1009,35.29,258,2015
100.00%,0.612244898,0.00%,0.227891156,0.159863946,22.22%,3.82%,51.04%,22.92%,10160,23,Cluster 1,9.64,30.71,41.93,41.93,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,180,Pakistan,Dera Bugti,1.07,14,28.99,2.68%,68.57,14.65,41.93,9.065,11.5,28.99,0.00%,1,0.825842697,294,0.174157303,62,4.00%,181310,67,47,Balochistan,47.88,22.29,1009,1.43,356,2015
79.83%,0.244239631,20.17%,0.230414747,0.525345622,44.58%,1.61%,31.73%,22.09%,12637,23,Cluster 1,43.69,11.17,70.17,70.17,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,53,Pakistan,Gwadar,20.39,14,62.58,2.68%,55.34,86.85,70.17,9.065,17.91,62.58,0.00%,1,0.794871795,217,0.205128205,56,4.00%,185498,50,114,Balochistan,75.38,33.3,1009,35.92,273,2015
93.69%,0.280821918,6.31%,0.143835616,0.575342466,12.05%,11.45%,39.16%,37.35%,4096,23,Cluster 1,45.45,20.98,56.31,56.31,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,41,Pakistan,Harnai,8.39,14,40.73,2.68%,7.69,39.08,56.31,9.065,20.1,40.73,0.00%,1,0.863905325,146,0.136094675,23,4.00%,140000,21,84,Balochistan,47.42,24.2,1009,38.46,169,2015
85.56%,0.142857143,14.44%,0.187122736,0.670020121,12.41%,20.11%,28.20%,39.29%,2445,23,Cluster 1,16.9,23.46,64.44,64.44,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,71,Pakistan,Jaffarabad,13.52,14,50.01,2.68%,12.13,44.83,64.44,9.065,55.35,50.01,0.00%,1,0.878091873,497,0.121908127,69,4.00%,432817,93,333,Balochistan,35.44,13.4,1009,0.99,566,2015
88.29%,0.194331984,11.71%,0.198380567,0.607287449,10.68%,22.06%,27.40%,39.86%,3615,23,Cluster 1,0,74.89,61.71,61.71,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,48,Pakistan,Jhal Magsi,0.43,14,57.25,2.68%,40,66.22,61.71,9.065,51.48,57.25,0.00%,1,0.831649832,247,0.168350168,50,4.00%,109941,49,150,Balochistan,49.59,24.94,1009,9.36,297,2015
100.00%,0.225063939,0.00%,0.350383632,0.424552430,40.07%,5.05%,47.29%,7.58%,7499,23,Cluster 1,27.95,14.25,40.43,40.43,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,88,Pakistan,Kachhi,4.66,14,40.29,2.68%,24.11,52.39,40.43,9.065,18.18,40.29,0.00%,1,0.863134658,391,0.136865342,62,4.00%,288056,137,166,Balochistan,50.18,14.9,1009,3.56,453,2015
60.61%,0.228070175,39.39%,0.280701754,0.491228070,26.71%,10.87%,34.75%,27.66%,6622,23,Cluster 1,47.58,18.01,89.39,89.39,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,91,Pakistan,Kalat,12.1,14,49.79,2.68%,20.97,63.02,89.39,9.065,13.22,49.79,0.00%,1,0.836477987,399,0.163522013,78,4.00%,237834,112,196,Balochistan,33.51,25,1009,26.34,477,2015
65.30%,0.442913386,34.70%,0.206692913,0.350393701,57.11%,1.26%,37.03%,4.60%,22539,23,Cluster 1,27.51,4.05,84.7,84.7,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,225,Pakistan,Kech,5.54,14,69.5,2.68%,39.87,68.83,84.7,9.065,43.9,69.5,0.00%,1,0.765060241,508,0.234939759,156,4.00%,413204,105,178,Balochistan,80.57,18.93,1009,17.7,664,2015
90.38%,0.054644809,9.62%,0.295081967,0.650273224,68.20%,0.00%,29.95%,1.84%,8958,23,Cluster 1,23.43,13.71,59.62,59.62,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,10,Pakistan,Kharan,2.86,14,62.93,2.68%,50.86,74.69,59.62,9.065,62,62.93,0.00%,1,0.788793103,183,0.211206897,49,4.00%,132500,54,119,Balochistan,55.41,19.89,1009,8.57,232,2015
58.65%,0.321711569,41.35%,0.172741680,0.505546751,24.20%,7.78%,36.55%,31.47%,35380,23,Cluster 1,33.1,40.81,91.35,91.35,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,203,Pakistan,Khuzdar,14.36,14,55.16,2.68%,47.46,69.14,91.35,9.065,28.95,55.16,0.00%,1,0.869146006,631,0.130853994,95,4.00%,417466,109,319,Balochistan,31.21,31.31,1009,20.84,726,2015
100.00%,0.194063927,0.00%,0.235159817,0.570776256,16.70%,10.92%,41.97%,30.41%,3293,23,Cluster 1,33.66,22.6,33.16,33.16,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,85,Pakistan,Killa Abdullah,15.72,14,28.04,2.68%,9.83,36.14,33.16,9.065,11.75,28.04,0.00%,1,0.857142857,438,0.142857143,73,4.00%,370269,103,250,Balochistan,31.1,17.84,1009,7.37,511,2015
81.68%,0.031423290,18.32%,0.336414048,0.632162662,13.09%,26.36%,23.82%,36.73%,6831,23,Cluster 1,12.55,18.92,68.32,68.32,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,17,Pakistan,Killa Saifullah,5.98,14,64.44,2.68%,34.56,84.59,68.32,9.065,70.07,64.44,0.00%,1,0.892739274,541,0.107260726,65,4.00%,193553,182,342,Balochistan,34.76,15.68,1009,6.37,606,2015
100.00%,0,0.00%,0.202970297,0.824257426,19.41%,16.48%,15.80%,48.31%,7610,23,Cluster 1,16.21,20.7,44.58,44.58,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,0,Pakistan,Kohlu,3.49,14,33.4,2.68%,38.15,50.03,44.58,9.065,20.72,33.4,0.00%,1,0.905829596,404,0.094170404,42,4.00%,99846,82,333,Balochistan,18.26,15.96,1009,1.25,446,2015
76.60%,0.362934363,23.40%,0.185328185,0.451737452,18.09%,11.52%,32.62%,37.77%,15153,23,Cluster 1,32.37,17.22,73.4,73.4,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,188,Pakistan,Lasbela,15.56,14,58.04,2.68%,43.98,53.74,73.4,9.065,51.58,58.04,0.00%,1,0.854785479,518,0.145214521,88,4.00%,312695,96,234,Balochistan,53.44,27.72,1009,29.46,606,2015
84.47%,0,15.53%,0.409657321,0.660436137,28.81%,9.71%,28.35%,33.13%,9830,23,Cluster 1,27.85,37.79,65.53,65.53,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,0,Pakistan,Loralai,12.87,14,44.11,2.68%,27.85,59.65,65.53,9.065,31.9,44.11,0.00%,1,0.887966805,642,0.112033195,81,4.00%,295555,263,424,Balochistan,19.36,24.01,1009,13.68,723,2015
66.36%,0.392739274,33.64%,0.165016502,0.442244224,20.40%,7.93%,31.44%,40.23%,5896,23,Cluster 1,66.21,13.31,83.64,83.64,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,119,Pakistan,Mastung,5.12,14,62.94,2.68%,6.83,85.04,83.64,9.065,18.04,62.94,0.00%,1,0.801587302,303,0.198412698,75,4.00%,179784,50,134,Balochistan,65.02,24.57,1009,31.4,378,2015
100.00%,0,0.00%,0.378787879,0.780303030,21.60%,3.14%,50.87%,24.39%,5728,23,Cluster 1,26.77,23.62,31.3,31.3,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,0,Pakistan,Musakhail,5.91,14,30.34,2.68%,66.93,40.42,31.3,9.065,26.59,30.34,0.00%,1,0.868421053,264,0.131578947,40,4.00%,134056,100,206,Balochistan,23.03,27.17,1009,12.6,304,2015
96.09%,0,3.91%,0.356194690,0.685840708,24.84%,20.22%,22.20%,32.75%,3387,23,Cluster 1,19.58,25,53.91,53.91,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,0,Pakistan,Nasirabad,3.54,14,35.63,2.68%,11.32,39.2,53.91,9.065,8.14,35.63,0.00%,1,0.889763780,452,0.110236220,56,4.00%,245894,161,310,Balochistan,41.28,11.89,1009,0,508,2015
68.12%,0.524096386,31.88%,0.078313253,0.397590361,80.47%,0.00%,17.21%,2.33%,5797,23,Cluster 1,41.29,19.35,81.88,81.88,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,87,Pakistan,Nushki,18.71,14,59.43,2.68%,27.1,64.6,81.88,9.065,34.15,59.43,0.00%,1,0.697478992,166,0.302521008,72,4.00%,137500,13,66,Balochistan,57.1,30.71,1009,47.1,238,2015
84.60%,0.595611285,15.40%,0.103448276,0.300940439,7.30%,9.19%,42.97%,40.54%,16891,23,Cluster 1,3.08,65.07,65.4,65.4,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,190,Pakistan,Panjgur,0.34,14,51.18,2.68%,78.77,78.91,65.4,9.065,6.1,51.18,0.00%,1,0.811704835,319,0.188295165,74,4.00%,234051,33,96,Balochistan,54.29,32.26,1009,14.04,393,2015
73.24%,0.145102781,26.76%,0.338573156,0.516324063,34.47%,12.42%,30.29%,22.81%,7819,23,Cluster 1,37.63,18.49,76.76,76.76,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,120,Pakistan,Pishin,18.88,14,55.01,2.68%,20.44,66.03,76.76,9.065,31.54,55.01,0.00%,1,0.838742394,827,0.161257606,159,4.00%,367183,280,427,Balochistan,45.74,23.18,1009,20.44,986,2015
74.70%,0.751282051,25.30%,0.094871795,0.153846154,42.91%,3.54%,37.99%,15.55%,2653,23,Cluster 1,67.88,41.62,75.3,75.3,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,293,Pakistan,Quetta,20.39,14,72.13,2.68%,10.89,80.18,75.3,9.065,64.14,72.13,0.00%,1,0.681818182,390,0.318181818,182,4.00%,744802,37,60,Balochistan,68.88,36.59,1009,42.18,572,2015
85.94%,0.012195122,14.06%,0.237804878,0.75,20.96%,7.78%,44.31%,26.95%,0,23,Cluster 1,14.01,19.11,64.06,64.06,Year on Year Change,What are these scores? How they are Derived?,"1,009.0",Balochistan,Gender parity score,2,Pakistan,Sherani,5.73,14,48.84,2.68%,32.48,55.64,64.06,9.065,36.44,48.84,0.00%,1,0.891304348,164,0.108695652,20,4.00%,0,39,123,Balochistan,39.22,18.6,1009,21.66,184,2015
